,id,current_role,current_role_TEXT,role_in_turnover,experience_years,professional_background_TEXT,fleet_size,fleet_size_oo,fleet_vocation_mixed_use_TEXT,fleet_vocation_other_TEXT,in_chicago,ownership_model,percentage_company_owned,percentage_pre_2010,percentage_class_6,percentage_urban_logistics,turnover_priorities_TEXT,turnover_financial_TEXT,decision_tools_cost,decision_tools_maintenance,decision_tools_emissions,decision_tools_telematics,decision_tools_regulations,decision_tools_consulting,decision_tools_AI,decision_tools_other,decision_tools_other_TEXT,years_replacement,replacement_priority_TEXT,purchase_markets,purchase_markets_TEXT,replace_pre2010,expand_fleet,turnover_comments_TEXT,rank_support_financial,rank_support_technical,rank_support_infrastructure,rank_support_certifications,rank_support_other,rank_support_other_TEXT,innovation_ice,innovation_hybrid,innovation_bev,innovation_hydrogen,innovation_telematic,innovation_ai,innovation_route,innovation_other,innovation_other_TEXT,innovation_best_TEXT,innovation_worst_TEXT,renewal_barriers_TEXT,key_stakeholders_TEXT,influence_by_customers,influence_by_regulatory,influence_by_communities,influence_by_industry,influence_by_investors,influence_by_ngo,influence_by_other,influence_by_other_TEXT,influence_on_customers,influence_on_regulatory,influence_on_communities,influence_on_industry,influence_on_investors,influence_on_ngo,influence_on_other,influence_on_other_TEXT,turnover_comments_2_TEXT,additional_comments_TEXT,fleet_vocation_1,fleet_vocation_2,fleet_vocation_3,fleet_vocation_4,fleet_vocation_5,fleet_vocation_6,fleet_vocation_nan,region_1,region_2,region_3,region_4,region_5,region_6,region_nan,turnover_priorities_1,turnover_priorities_2,turnover_priorities_3,turnover_priorities_4,turnover_priorities_5,turnover_priorities_6,turnover_priorities_7,turnover_priorities_8,turnover_priorities_9,turnover_priorities_nan,turnover_financial_1,turnover_financial_10,turnover_financial_2,turnover_financial_3,turnover_financial_4,turnover_financial_5,turnover_financial_6,turnover_financial_7,turnover_financial_8,turnover_financial_9,turnover_financial_nan,replacement_priority_1,replacement_priority_2,replacement_priority_3,replacement_priority_4,replacement_priority_5,replacement_priority_6,replacement_priority_7,replacement_priority_8,replacement_priority_nan,renewal_barriers_1,renewal_barriers_10,renewal_barriers_11,renewal_barriers_2,renewal_barriers_3,renewal_barriers_4,renewal_barriers_5,renewal_barriers_6,renewal_barriers_7,renewal_barriers_8,renewal_barriers_9,renewal_barriers_nan,key_stakeholders_1,key_stakeholders_10,key_stakeholders_2,key_stakeholders_3,key_stakeholders_4,key_stakeholders_5,key_stakeholders_6,key_stakeholders_7,key_stakeholders_8,key_stakeholders_9,key_stakeholders_nan,oo_veh_char_3,oo_veh_char_nan,fleet_type,current_role_oo,current_role_oo_TEXT,oo_veh_char_1,oo_veh_char_2,oo_veh_char_4,source
0,15c1190f,1,,1.0,4.0,I have multiple certifications in fleet management.,4.0,,,,,1.0,,53.0,63.0,56.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,15.0,,1.0,,1.0,,No,3.0,1.0,2.0,4.0,5.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,Ai assisted driving,,,,4.0,3.0,3.0,3.0,3.0,3.0,1.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,No,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Fleet managers
1,9e8fd846,1,,1.0,2.0,"CFM, commercial drivers license, certified manager certification osha safety certificate ",3.0,,,,,2.0,,25.0,27.0,33.0,,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,Does not apply,2.0,,3.0,,1.0,,No there is nothing else ,2.0,3.0,1.0,4.0,5.0,,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,Not applicable ,AI,Traditional methods,,,3.0,3.0,2.0,4.0,4.0,2.0,1.0,N/a,3.0,3.0,2.0,3.0,3.0,2.0,1.0,N/a,I don’t feel misunderstood ,I do not,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0.0,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
2,dc4496e2,3,,,3.0,"Supply chain management, business management ",,3.0,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,5.0,,3.0,,,2.0,N/a,3.0,2.0,1.0,4.0,5.0,,2.0,1.0,2.0,2.0,3.0,3.0,2.0,,,EV trucks ,Fully autonomous trucks ,,,,,,,,,,,3.0,3.0,3.0,3.0,,3.0,,,AI is overlooked at the moment ,N/a,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,> 100 vehicles,,,,,,Owner-Operators
3,68a70e47,4,Commercial sales manager in a retail business,3.0,3.0,6 years of managing a fleet of 2-3 vehicles at one location of a company wielding a fleet of hundreds of delivery vehicles. ,1.0,,Local deliveries,,,2.0,,0.0,0.0,75.0,,,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,Vehicle damages,2.0,,4.0,,,,No,2.0,1.0,3.0,4.0,5.0,,3.0,1.0,1.0,1.0,3.0,2.0,3.0,,,Telematics,AI,,,2.0,2.0,1.0,1.0,1.0,1.0,,,4.0,2.0,2.0,3.0,2.0,2.0,,,The impact of the vehicles on the brand. ,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1.0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Other
4,6d86c2ec,3,,,4.0,"Cpfp, cltd and Bachelor's in business administration ",,3.0,,,1.0,,,,,,,,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,Na,9.0,,3.0,,,1.0,Logistical frustration and idle time as well as driver shortage ,3.0,2.0,4.0,1.0,5.0,,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,Na,Predictive maintenence powrred by ai for sure ,Humanoid robots for warehoise,,,3.0,2.0,4.0,4.0,3.0,3.0,1.0,Na,3.0,4.0,3.0,2.0,4.0,3.0,1.0,Na,Accurately calculating interdependent costs ,No,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,> 100 vehicles,,,,,,Owner-Operators
5,12b56b4e,4,Program Analyst for Law Enforcement Agency's fleet management program,2.0,3.0,Fleet management for Naval ships and having expertise in Excel and inventory database management,6.0,,,"Surveillance, Armored vehicles, Tow trucks, Medic vehicles, K9 vehicles",,3.0,60.0,30.0,0.0,0.0,,,2.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,Accident tracking,10.0,,5.0,GSA AutoChoice,4.0,,We dont have the budget to replace vehicles and it's mainly going towards vehicle maintenance.,3.0,2.0,4.0,5.0,1.0,Money,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,Getting more funding,Electric vehicles,Magnetic braking,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Management,4.0,1.0,1.0,2.0,1.0,1.0,4.0,Management,The financial aspects of being able to have money to both replace and repair vehicles at the same time,No,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,1,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Other
6,1c265038,4,Government fleet manager,2.0,3.0,"Fleet manager, ordering, and assigning.",3.0,,,,2.0,1.0,,84.0,21.0,60.0,,,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,,4.0,,1.0,,1.0,,Study the data and analytics ,2.0,1.0,3.0,4.0,5.0,,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,Hybrid vehicles ,Electric,,,2.0,1.0,4.0,3.0,2.0,1.0,3.0,,3.0,1.0,4.0,3.0,2.0,3.0,1.0,,The resell process and maintenance costs,"Nope, thank you",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Other
7,a677b5cf,1,,1.0,3.0,"Prior to this position, I started working in this industry in 2007 as a dispatch assistant for a local garbage company and after that I worked for a well-known trucking company locally and was an office manager over about 52 trucks and then after that I worked at a another well-known trucking company nationwide, and was a dispatcher and data specialist for all the dispatchers",3.0,,,,,3.0,81.0,4.0,89.0,5.0,,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,Na,10.0,,3.0,,5.0,,,1.0,2.0,3.0,5.0,4.0,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,Implementation of AI technology for logistics and routing,Going to EV engines,,,2.0,3.0,2.0,3.0,4.0,2.0,,,,,,,,,,,Regulatory for sure it’s hard for anyone to understand much less the typical driver,No,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,1.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
8,f000256d,1,,1.0,4.0,I’ve been HR manager in charge of logistics for 10 years ,3.0,,,,,1.0,,10.0,20.0,50.0,,,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,Na,10.0,,3.0,,1.0,,Nothing to add ,1.0,2.0,4.0,3.0,5.0,,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,Na,More AI integration in our systems,Nothing I can think of ,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,Na,1.0,2.0,2.0,1.0,2.0,1.0,1.0,Na,Why some operational costs are more than others ,No,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,1,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
9,2d31b98f,4,operations manager in logistics and transportation company,1.0,3.0,"I have been the operations manager for a logistics/transport company for 7 years, responsible for managing vehicle maintanence, rental and purchase management, driver schedules, management and DOT commercial license compliance and regulations, manage records, driver schedules, routes and GPS info. ",4.0,,storage and supplies,,1.0,3.0,61.0,8.0,63.0,13.0,,,4.0,4.0,3.0,3.0,4.0,3.0,3.0,,,10.0,,3.0,,1.0,,we are looking to purchase more sustainable vehicles when we make our replacements,1.0,3.0,4.0,2.0,5.0,,3.0,1.0,2.0,1.0,3.0,2.0,3.0,,,telemetrics and real time information,cost of vehicles increasing ,,,3.0,4.0,2.0,3.0,4.0,3.0,3.0,social pressures,3.0,3.0,3.0,3.0,4.0,3.0,3.0,social pressures,Issues with dealing with CFOs and boards that do not understand the need for improvements and change to adapt more efficent vehicles,We are working on becoming more efficient in the next few years. ,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,> 100 vehicles,,,,,,Other
