source,comment,category1,category2
Fleet managers,I don’t feel misunderstood ,None,
Owner-Operators,AI is overlooked at the moment ,Technology,
Other,The impact of the vehicles on the brand. ,Brand/Image,
Owner-Operators,Accurately calculating interdependent costs ,Cost,
Other,The financial aspects of being able to have money to both replace and repair vehicles at the same time,Cost,Maintenance
Other,The resell process and maintenance costs,Cost,Maintenance
Fleet managers,Regulation for sure it’s hard for anyone to understand much less the typical driver,Regulation,
Fleet managers,Why some operational costs are more than others ,Cost,
Other,Issues with dealing with CFOs and boards that do not understand the need for improvements and change to adapt more efficent vehicles,Organization,
Fleet managers,Impact of emissions standard- we need to take care of low-emission zone.,Regulation,
Other,"Based on the data that I have dealt with so far in our industry, I would say the major one is technical capability of most companies. There seems to be a number of companies that don't have the technical capacity to deal with most fleet turnover or renewal.",Technology,Organization
Fleet managers,"One key aspect that is often not well understood within our organization and across the industry is the full lifecycle cost and benefits of newer vehicle technologies, including electric and hybrid models. While upfront costs are clear, the long-term savings, maintenance differences, and residual values are sometimes underestimated.",Cost,
Fleet managers,Regulation factors ,Regulation,
Fleet managers,I beleaguered that Regulation are definitely not really looked at as a important aspect of fleet turnover,Regulation,
Fleet managers,the duration a vehicle should be in service,Operations,
Fleet managers,none. i pretty get to understand everything ,None,
Fleet managers,none,None,
Other,"The amount of time and maintenance done in house to keep the fleet moving, costs and overtime.",Maintenance,Cost
Other,The overall treatment of the fleet. ,None,
Fleet managers,none,None,
Fleet managers,Unpredictable lifespans and repair costs of novel technology ,Maintenance,Technology
Other,Our mechanics are locked out of repairs.,Maintenance,Organization
Fleet managers,Vehicle operations,Operations,Cost
Fleet managers,seviceability,Operations,
Owner-Operators,Regulation and insurance compliance,Regulation,
Fleet managers,I understand most of the process ,None,
Other,"Useful life of vehicles, for personal use.",Maintenance,
Fleet managers,The costs associated with running a fleet. It doesn’t make sense to keep repairing a 10 year old truck. The costs get to high.,Cost,Maintenance
Fleet managers,Regulartory,Regulation,
Fleet managers,"in general - rising costs of everything is ridiculous.  it makes us get for creative. we are only a $300 MM company.  Vastly different from WM, which was $5 billion. ",Cost,
Fleet managers,"Aspects of fleet turnover or renewal that are not well understood include the impact of emerging technologies, such as electric vehicles and autonomous driving, on fleet management . Additionally, the financial implications of fleet turnover or renewal, including depreciation and financing options, can be complex and difficult to navigate .",Technology,Organization
Other,"One often misunderstood aspect of fleet renewal is the total cost of ownership (TCO) over time. Many decision-makers focus heavily on upfront capital costs while undervaluing long-term savings from lower maintenance, fuel efficiency, or incentives linked to newer or alternative-fuel vehicles, especially EVs.

There’s also a knowledge gap around Regulation timelines and emissions compliance, particularly regarding the phasing out of older diesel vehicles or meeting regional zero-emission mandates. This can lead to delayed decisions and missed funding opportunities.

Operationally, the effect of vehicle downtime during the transition, such as infrastructure upgrades, training for EV use, or retrofits, is often underestimated. Teams may not fully plan for the behavioral shifts required from drivers, technicians, and dispatchers when new technologies are introduced.

Finally, in some organizations, fleet renewal is seen as a procurement task rather than a strategic operational investment. This perspective can hinder long-term optimization and sustainability goals.",Cost,Regulation
Fleet managers,Technical and behavioural factors are always misunderstood.,Technology,Organization
Fleet managers,Operational,Operations,
Fleet managers,How useful it is to do DIY mainetenance,Maintenance,
Other,that you have to spend money to make money,Cost,
Fleet managers,The infrastructure isn't easily available for us to meet the standards that some would like and is years away.,Regulation,
Fleet managers,"The true total cost of ownership is not understood by most becaue upfront costs and fuel savings are the ones that are usually taken into account, but the hidden costs aren't known as well. I mean stuff like maintenence, training, and other types of upgrades are really beneficiaial to know beforehand beforeyou start going into long term planning.",Cost,Maintenance
Other,Financial,Cost,
Fleet managers,People don't understand that electric vehicles are the future.,Technology,
Fleet managers,High mileage and continuous maintenance costs. These things don't ever seem to be taken into consideration by upper management when requests for renewals are presented due to these issues. ,Cost,Maintenance
Other,The importance of maintaining the fleet so we can all be productive.,Maintenance,
Fleet managers,"true total cost of ownership- many organizations focus too heavily on upfront vehicle cost or resale value, while underestimating the long-term impact of maintenance, downtime, fuel efficiency, and driver satisfaction. ",Cost,Maintenance
Other,N/a,None,
Fleet managers,many companies don't consider the cost of maintenance or fuel efficiency,Maintenance,Cost
Other,"Correlation to brand, image, likeness, professionalism from drivers.",Brand/Image,
Other,financial,Cost,
Other,I think it’s typically pretty clear,None,
Other,ai models,Technology,
Owner-Operators,The expenses that come with maintenance.,Maintenance,Cost
Other,actual mileage vs down time costs ,Cost,
Other,Logistics ,Operations,
Fleet managers,I feel as though our company doesn't consider driver health as well as they should and how that effects the vehicles.,Organization,
Other,operational and financial,Cost,
Other,"Regulation aspects that may be coming in the future and how they will impact the business in regards to diesel use, etc. ",Regulation,
Fleet managers,the need to replace perfect;y good vehicles,Maintenance,
Fleet managers,"the total cost of ownership (TCO). Everyone looks at the sticker price of a new truck and gets scared away. They don't properly factor in the long-term savings from reduced maintenance, better fuel efficiency, and less downtime. It's not just a one-time purchase; it's a financial asset with a life cycle.",Cost,Maintenance
Fleet managers,Cost for older vehicles ,Cost,
Fleet managers,Sometimes sustainment ,Maintenance,
Fleet managers,residual value and depreciation,Cost,
Other,"In our category of fleet vehicles, there are only a handful of suppliers and inventory is limited.",Organization,
Fleet managers,I think behavioral factors are not well understood in my organization ,Organization,
Fleet managers,Environmental and social responsibility,Environment,
Fleet managers,How much it costs to maintain,Cost,Maintenance
Other,Everyone in the industry has to work together and roads need to be improved.,Organization,Regulation
Fleet managers,AI - Anything with it - should not be implemented into fleets ,Technology,
